title,parenttask,maxxp
C2_SimpleBash,,350
C3_s21_string+,C2_SimpleBash,500
C5_s21_decimal,C3_s21_string+,350
C6_s21_matrix,C5_s21_decimal,200
C7_SmartCalc_v1.0,C6_s21_matrix,500
C8_3DViewer_v1.0,C7_SmartCalc_v1.0,750
D01_Linux,C3_s21_string+,300
D02_LinuxNetwork,D01_Linux,250
D03_LinuxMonitoring_v1.0,D02_LinuxNetwork,350
D04_LinuxMonitoring_v2.0,D03_LinuxMonitoring_v1.0,350
D05_SimpleDocker,D03_LinuxMonitoring_v1.0,300
D06_CICD,D05_SimpleDocker,300
CPP1_s21_matrix+,C8_3DViewer_v1.0,300
CPP2_s21_containers,CPP1_s21_matrix+,350
CPP3_SmartCalc_v2.0,CPP2_s21_containers,600
CPP4_3DViewer_v2.0,CPP3_SmartCalc_v2.0,750
CPP7_MLP,CPP4_3DViewer_v2.0,700
SQL1_SQL1,C8_3DViewer_v1.0,1500
SQL2_Info21_v1.0,SQL1_SQL1,500
SQL3_RetailAnalytics_v1.0,SQL2_Info21_v1.0,600